plot,plot_section,plot_section_label,month_order,month,survey_date,observation_source,genet,species,is_baseline_genet,present,surviving_from_baseline,died_from_baseline_this_month,area,area_m2,plot_area_m2,percent_cover_of_plot,taglab_area_units
Plot C,all,Plot C,2,April,2026-04-03,interval_end,0-0__123,Porites porites,TRUE,TRUE,TRUE,FALSE,5.305,5.304999999999999e-4,480,1.1052083333333332e-4,cm2
Plot C,all,Plot C,2,April,2026-04-03,interval_end,0-0__124,Porites porites,TRUE,TRUE,TRUE,FALSE,3.2325,3.2324999999999997e-4,480,6.734375e-5,cm2
Plot C,all,Plot C,2,April,2026-04-03,interval_end,0-0__125,Porites porites,TRUE,TRUE,TRUE,FALSE,2.99,2.99e-4,480,6.229166666666667e-5,cm2
Plot C,all,Plot C,2,April,2026-04-03,interval_end,0-0__126,Porites porites,TRUE,TRUE,TRUE,FALSE,3.275,3.275e-4,480,6.822916666666667e-5,cm2
Plot C,all,Plot C,2,April,2026-04-03,interval_end,0-0__127,Porites porites,TRUE,TRUE,TRUE,FALSE,7.105,7.105000000000001e-4,480,1.4802083333333334e-4,cm2
Plot C,all,Plot C,2,April,2026-04-03,interval_end,0-0__128,Porites porites,TRUE,TRUE,TRUE,FALSE,3.6275,3.6275e-4,480,7.557291666666667e-5,cm2
Plot C,all,Plot C,2,April,2026-04-03,interval_end,0-0__129,Porites porites,TRUE,TRUE,TRUE,FALSE,2.665,2.665e-4,480,5.552083333333334e-5,cm2
Plot C,all,Plot C,2,April,2026-04-03,interval_end,0-0__13,Montastraea cavernosa,TRUE,TRUE,TRUE,FALSE,4.195,4.195e-4,480,8.739583333333334e-5,cm2
Plot C,all,Plot C,2,April,2026-04-03,interval_end,0-0__130,Porites porites,TRUE,TRUE,TRUE,FALSE,5.7275,5.7275e-4,480,1.1932291666666667e-4,cm2
Plot C,all,Plot C,2,April,2026-04-03,interval_end,0-0__131,Porites porites,TRUE,TRUE,TRUE,FALSE,2.3025,2.3025e-4,480,4.7968750000000004e-5,cm2
Plot C,all,Plot C,2,April,2026-04-03,interval_end,0-0__132,Porites porites,TRUE,TRUE,TRUE,FALSE,4.9575,4.9575e-4,480,1.0328125e-4,cm2
Plot C,all,Plot C,2,April,2026-04-03,interval_end,0-0__133,Porites porites,TRUE,TRUE,TRUE,FALSE,5.93,5.93e-4,480,1.2354166666666666e-4,cm2
Plot C,all,Plot C,2,April,2026-04-03,interval_end,0-0__134,Porites porites,TRUE,TRUE,TRUE,FALSE,4.0425,4.0425000000000004e-4,480,8.421875000000001e-5,cm2
Plot C,all,Plot C,2,April,2026-04-03,interval_end,0-0__135,Porites porites,TRUE,TRUE,TRUE,FALSE,2.325,2.325e-4,480,4.84375e-5,cm2
Plot C,all,Plot C,2,April,2026-04-03,interval_end,0-0__136,Orbicella franksi,TRUE,TRUE,TRUE,FALSE,3.28,3.28e-4,480,6.833333333333335e-5,cm2
Plot C,all,Plot C,2,April,2026-04-03,interval_end,0-0__137,Orbicella franksi,TRUE,TRUE,TRUE,FALSE,3.9975,3.9975e-4,480,8.328125e-5,cm2
Plot C,all,Plot C,2,April,2026-04-03,interval_end,0-0__138,Porites porites,TRUE,TRUE,TRUE,FALSE,2.9,2.9e-4,480,6.041666666666667e-5,cm2
Plot C,all,Plot C,2,April,2026-04-03,interval_end,0-0__139,Porites porites,TRUE,TRUE,TRUE,FALSE,5.5275,5.5275e-4,480,1.1515625e-4,cm2
Plot C,all,Plot C,2,April,2026-04-03,interval_end,0-0__14,Montastraea cavernosa,TRUE,TRUE,TRUE,FALSE,3.9175,3.9175e-4,480,8.161458333333333e-5,cm2
Plot C,all,Plot C,2,April,2026-04-03,interval_end,0-0__140,Orbicella franksi,TRUE,TRUE,TRUE,FALSE,4.2625,4.2625000000000003e-4,480,8.880208333333334e-5,cm2
Plot C,all,Plot C,2,April,2026-04-03,interval_end,0-0__141,Orbicella franksi,TRUE,TRUE,TRUE,FALSE,6.8625,6.8625e-4,480,1.4296875e-4,cm2
Plot C,all,Plot C,2,April,2026-04-03,interval_end,0-0__142,Porites porites,TRUE,TRUE,TRUE,FALSE,8.6675,8.6675e-4,480,1.8057291666666666e-4,cm2
Plot C,all,Plot C,2,April,2026-04-03,interval_end,0-0__143,Orbicella franksi,TRUE,TRUE,TRUE,FALSE,4.19,4.1900000000000005e-4,480,8.729166666666668e-5,cm2
Plot C,all,Plot C,2,April,2026-04-03,interval_end,0-0__144,Orbicella franksi,TRUE,TRUE,TRUE,FALSE,4.8525,4.8525e-4,480,1.0109375e-4,cm2
Plot C,all,Plot C,2,April,2026-04-03,interval_end,0-0__145,Orbicella franksi,TRUE,TRUE,TRUE,FALSE,7.8225,7.8225e-4,480,1.6296874999999997e-4,cm2
Plot C,all,Plot C,2,April,2026-04-03,interval_end,0-0__146,Porites porites,TRUE,TRUE,TRUE,FALSE,1.39,1.39e-4,480,2.895833333333333e-5,cm2
Plot C,all,Plot C,2,April,2026-04-03,interval_end,0-0__147,Orbicella franksi,TRUE,TRUE,TRUE,FALSE,6.165,6.165e-4,480,1.284375e-4,cm2
Plot C,all,Plot C,2,April,2026-04-03,interval_end,0-0__148,Orbicella franksi,TRUE,TRUE,TRUE,FALSE,5.31,5.31e-4,480,1.10625e-4,cm2
Plot C,all,Plot C,2,April,2026-04-03,interval_end,0-0__149,Orbicella franksi,TRUE,TRUE,TRUE,FALSE,6.915,6.915000000000001e-4,480,1.440625e-4,cm2
Plot C,all,Plot C,2,April,2026-04-03,interval_end,0-0__15,Montastraea cavernosa,TRUE,TRUE,TRUE,FALSE,4.035,4.035e-4,480,8.406249999999999e-5,cm2
Plot C,all,Plot C,2,April,2026-04-03,interval_end,0-0__150,Orbicella franksi,TRUE,TRUE,TRUE,FALSE,3.7125,3.7125e-4,480,7.734374999999999e-5,cm2
Plot C,all,Plot C,2,April,2026-04-03,interval_end,0-0__151,Orbicella franksi,TRUE,TRUE,TRUE,FALSE,10.1675,0.00101675,480,2.1182291666666666e-4,cm2
Plot C,all,Plot C,2,April,2026-04-03,interval_end,0-0__152,Orbicella franksi,TRUE,TRUE,TRUE,FALSE,2.99,2.99e-4,480,6.229166666666667e-5,cm2
Plot C,all,Plot C,2,April,2026-04-03,interval_end,0-0__153,Porites porites,TRUE,TRUE,TRUE,FALSE,8.835,8.835000000000001e-4,480,1.8406250000000004e-4,cm2
Plot C,all,Plot C,2,April,2026-04-03,interval_end,0-0__154,Orbicella franksi,TRUE,TRUE,TRUE,FALSE,8.5075,8.5075e-4,480,1.7723958333333337e-4,cm2
Plot C,all,Plot C,2,April,2026-04-03,interval_end,0-0__155,Orbicella franksi,TRUE,TRUE,TRUE,FALSE,4.8825,4.8825e-4,480,1.0171875e-4,cm2
Plot C,all,Plot C,2,April,2026-04-03,interval_end,0-0__156,Orbicella franksi,TRUE,TRUE,TRUE,FALSE,6.855,6.855e-4,480,1.428125e-4,cm2
Plot C,all,Plot C,2,April,2026-04-03,interval_end,0-0__157,Orbicella franksi,TRUE,TRUE,TRUE,FALSE,8.215,8.215e-4,480,1.7114583333333334e-4,cm2
Plot C,all,Plot C,2,April,2026-04-03,interval_end,0-0__158,Orbicella franksi,TRUE,TRUE,TRUE,FALSE,6.2175,6.2175e-4,480,1.2953125e-4,cm2
Plot C,all,Plot C,2,April,2026-04-03,interval_end,0-0__159,Porites porites,TRUE,TRUE,TRUE,FALSE,10.315,0.0010314999999999999,480,2.1489583333333332e-4,cm2
Plot C,all,Plot C,2,April,2026-04-03,interval_end,0-0__16,Montastraea cavernosa,TRUE,TRUE,TRUE,FALSE,1.9025,1.9025000000000002e-4,480,3.963541666666667e-5,cm2
Plot C,all,Plot C,2,April,2026-04-03,interval_end,0-0__160,Orbicella franksi,TRUE,TRUE,TRUE,FALSE,5.425,5.425e-4,480,1.1302083333333333e-4,cm2
Plot C,all,Plot C,2,April,2026-04-03,interval_end,0-0__161,Orbicella franksi,TRUE,TRUE,TRUE,FALSE,4.055,4.055e-4,480,8.447916666666666e-5,cm2
Plot C,all,Plot C,2,April,2026-04-03,interval_end,0-0__162,Orbicella franksi,TRUE,TRUE,TRUE,FALSE,4.235,4.2350000000000005e-4,480,8.822916666666667e-5,cm2
Plot C,all,Plot C,2,April,2026-04-03,interval_end,0-0__163,Orbicella franksi,TRUE,TRUE,TRUE,FALSE,2.875,2.875e-4,480,5.989583333333333e-5,cm2
Plot C,all,Plot C,2,April,2026-04-03,interval_end,0-0__164,Orbicella franksi,TRUE,TRUE,TRUE,FALSE,1.7325,1.7324999999999998e-4,480,3.609374999999999e-5,cm2
Plot C,all,Plot C,2,April,2026-04-03,interval_end,0-0__166,Orbicella annularis,TRUE,TRUE,TRUE,FALSE,148.6225,0.01486225,480,0.0030963020833333337,cm2
Plot C,all,Plot C,2,April,2026-04-03,interval_end,0-0__167,Porites porites,TRUE,TRUE,TRUE,FALSE,1.6575,1.6575e-4,480,3.4531249999999996e-5,cm2
Plot C,all,Plot C,2,April,2026-04-03,interval_end,0-0__168,Porites porites,TRUE,TRUE,TRUE,FALSE,3.2475,3.2475e-4,480,6.765625000000001e-5,cm2
Plot C,all,Plot C,2,April,2026-04-03,interval_end,0-0__169,Porites porites,TRUE,TRUE,TRUE,FALSE,2.5275,2.5275e-4,480,5.2656249999999996e-5,cm2
Plot C,all,Plot C,2,April,2026-04-03,interval_end,0-0__17,Montastraea cavernosa,TRUE,TRUE,TRUE,FALSE,3.7775,3.7775e-4,480,7.869791666666665e-5,cm2
Plot C,all,Plot C,2,April,2026-04-03,interval_end,0-0__170,Porites porites,TRUE,TRUE,TRUE,FALSE,1.61,1.61e-4,480,3.3541666666666664e-5,cm2
Plot C,all,Plot C,2,April,2026-04-03,interval_end,0-0__171,Porites porites,TRUE,TRUE,TRUE,FALSE,0.9975,9.975e-5,480,2.078125e-5,cm2
Plot C,all,Plot C,2,April,2026-04-03,interval_end,0-0__172,Porites porites,TRUE,TRUE,TRUE,FALSE,0.5425,5.425e-5,480,1.1302083333333333e-5,cm2
Plot C,all,Plot C,2,April,2026-04-03,interval_end,0-0__173,Porites porites,TRUE,TRUE,TRUE,FALSE,1.425,1.425e-4,480,2.9687499999999997e-5,cm2
Plot C,all,Plot C,2,April,2026-04-03,interval_end,0-0__174,Porites porites,TRUE,TRUE,TRUE,FALSE,3.0475,3.0475e-4,480,6.348958333333334e-5,cm2
Plot C,all,Plot C,2,April,2026-04-03,interval_end,0-0__175,Porites porites,TRUE,TRUE,TRUE,FALSE,6.97,6.97e-4,480,1.4520833333333332e-4,cm2
Plot C,all,Plot C,2,April,2026-04-03,interval_end,0-0__176,Porites porites,TRUE,TRUE,TRUE,FALSE,4.625,4.625e-4,480,9.635416666666667e-5,cm2
Plot C,all,Plot C,2,April,2026-04-03,interval_end,0-0__177,Porites porites,TRUE,TRUE,TRUE,FALSE,3.7175,3.7174999999999996e-4,480,7.744791666666665e-5,cm2
Plot C,all,Plot C,2,April,2026-04-03,interval_end,0-0__178,Porites porites,TRUE,TRUE,TRUE,FALSE,4.0375,4.0375e-4,480,8.411458333333333e-5,cm2
Plot C,all,Plot C,2,April,2026-04-03,interval_end,0-0__179,Porites porites,TRUE,TRUE,TRUE,FALSE,5.3925,5.3925e-4,480,1.1234375e-4,cm2
Plot C,all,Plot C,2,April,2026-04-03,interval_end,0-0__18,Montastraea cavernosa,TRUE,TRUE,TRUE,FALSE,4.41,4.4100000000000004e-4,480,9.187500000000001e-5,cm2
Plot C,all,Plot C,2,April,2026-04-03,interval_end,0-0__180,Porites porites,TRUE,TRUE,TRUE,FALSE,8.175,8.175000000000001e-4,480,1.703125e-4,cm2
Plot C,all,Plot C,2,April,2026-04-03,interval_end,0-0__181,Porites porites,TRUE,TRUE,TRUE,FALSE,4.37,4.37e-4,480,9.104166666666667e-5,cm2
Plot C,all,Plot C,2,April,2026-04-03,interval_end,0-0__182,Porites porites,TRUE,TRUE,TRUE,FALSE,7.0425,7.0425e-4,480,1.4671875e-4,cm2
Plot C,all,Plot C,2,April,2026-04-03,interval_end,0-0__183,Porites porites,TRUE,TRUE,TRUE,FALSE,5.44,5.44e-4,480,1.1333333333333333e-4,cm2
Plot C,all,Plot C,2,April,2026-04-03,interval_end,0-0__184,Porites porites,TRUE,TRUE,TRUE,FALSE,2.3975,2.3975e-4,480,4.994791666666667e-5,cm2
Plot C,all,Plot C,2,April,2026-04-03,interval_end,0-0__185,Porites porites,TRUE,TRUE,TRUE,FALSE,4.7275,4.7275e-4,480,9.848958333333334e-5,cm2
Plot C,all,Plot C,2,April,2026-04-03,interval_end,0-0__186,Porites porites,TRUE,TRUE,TRUE,FALSE,3.58,3.5800000000000003e-4,480,7.458333333333335e-5,cm2
Plot C,all,Plot C,2,April,2026-04-03,interval_end,0-0__187,Porites porites,TRUE,TRUE,TRUE,FALSE,4.9225,4.922500000000001e-4,480,1.0255208333333335e-4,cm2
Plot C,all,Plot C,2,April,2026-04-03,interval_end,0-0__188,Porites porites,TRUE,TRUE,TRUE,FALSE,5.9125,5.9125e-4,480,1.2317708333333332e-4,cm2
Plot C,all,Plot C,2,April,2026-04-03,interval_end,0-0__189,Porites porites,TRUE,TRUE,TRUE,FALSE,4.175,4.1749999999999996e-4,480,8.697916666666666e-5,cm2
Plot C,all,Plot C,2,April,2026-04-03,interval_end,0-0__19,Montastraea cavernosa,TRUE,TRUE,TRUE,FALSE,4.48,4.4800000000000005e-4,480,9.333333333333334e-5,cm2
Plot C,all,Plot C,2,April,2026-04-03,interval_end,0-0__190,Porites porites,TRUE,TRUE,TRUE,FALSE,2.2725,2.2725e-4,480,4.7343749999999995e-5,cm2
Plot C,all,Plot C,2,April,2026-04-03,interval_end,0-0__191,Porites porites,TRUE,TRUE,TRUE,FALSE,3.945,3.945e-4,480,8.21875e-5,cm2
Plot C,all,Plot C,2,April,2026-04-03,interval_end,0-0__192,Porites porites,TRUE,TRUE,TRUE,FALSE,2.88,2.88e-4,480,6e-5,cm2
Plot C,all,Plot C,2,April,2026-04-03,interval_end,0-0__193,Porites porites,TRUE,TRUE,TRUE,FALSE,3.255,3.255e-4,480,6.78125e-5,cm2
Plot C,all,Plot C,2,April,2026-04-03,interval_end,0-0__194,Porites porites,TRUE,TRUE,TRUE,FALSE,3.625,3.625e-4,480,7.552083333333332e-5,cm2
Plot C,all,Plot C,2,April,2026-04-03,interval_end,0-0__195,Porites porites,TRUE,TRUE,TRUE,FALSE,2.6775,2.6775000000000003e-4,480,5.578125000000001e-5,cm2
Plot C,all,Plot C,2,April,2026-04-03,interval_end,0-0__196,Porites porites,TRUE,TRUE,TRUE,FALSE,3.3475,3.3475000000000003e-4,480,6.973958333333334e-5,cm2
Plot C,all,Plot C,2,April,2026-04-03,interval_end,0-0__197,Porites porites,TRUE,TRUE,TRUE,FALSE,2.1,2.1e-4,480,4.375e-5,cm2
Plot C,all,Plot C,2,April,2026-04-03,interval_end,0-0__198,Porites porites,TRUE,TRUE,TRUE,FALSE,3.8225,3.8225e-4,480,7.963541666666667e-5,cm2
Plot C,all,Plot C,2,April,2026-04-03,interval_end,0-0__199,Porites porites,TRUE,TRUE,TRUE,FALSE,5.71,5.71e-4,480,1.1895833333333333e-4,cm2
Plot C,all,Plot C,2,April,2026-04-03,interval_end,0-0__2,Orbicella annularis,TRUE,TRUE,TRUE,FALSE,25.15,0.002515,480,5.239583333333333e-4,cm2
Plot C,all,Plot C,2,April,2026-04-03,interval_end,0-0__20,Montastraea cavernosa,TRUE,TRUE,TRUE,FALSE,1.7125,1.7125e-4,480,3.567708333333333e-5,cm2
Plot C,all,Plot C,2,April,2026-04-03,interval_end,0-0__200,Porites porites,TRUE,TRUE,TRUE,FALSE,5.275,5.275000000000001e-4,480,1.0989583333333335e-4,cm2
Plot C,all,Plot C,2,April,2026-04-03,interval_end,0-0__201,Porites porites,TRUE,TRUE,TRUE,FALSE,3.6275,3.6275e-4,480,7.557291666666667e-5,cm2
Plot C,all,Plot C,2,April,2026-04-03,interval_end,0-0__202,Porites porites,TRUE,TRUE,TRUE,FALSE,1.9425,1.9424999999999998e-4,480,4.046875e-5,cm2
Plot C,all,Plot C,2,April,2026-04-03,interval_end,0-0__203,Porites porites,TRUE,TRUE,TRUE,FALSE,1.0275,1.0275e-4,480,2.1406250000000002e-5,cm2
Plot C,all,Plot C,2,April,2026-04-03,interval_end,0-0__204,Porites porites,TRUE,TRUE,TRUE,FALSE,2.755,2.755e-4,480,5.739583333333333e-5,cm2
Plot C,all,Plot C,2,April,2026-04-03,interval_end,0-0__205,Porites porites,TRUE,TRUE,TRUE,FALSE,4.655,4.6550000000000004e-4,480,9.697916666666667e-5,cm2
Plot C,all,Plot C,2,April,2026-04-03,interval_end,0-0__206,Porites porites,TRUE,TRUE,TRUE,FALSE,5.5275,5.5275e-4,480,1.1515625e-4,cm2
Plot C,all,Plot C,2,April,2026-04-03,interval_end,0-0__207,Unidentified coral,TRUE,TRUE,TRUE,FALSE,0.2325,2.3250000000000003e-5,480,4.843750000000001e-6,cm2
Plot C,all,Plot C,2,April,2026-04-03,interval_end,0-0__208,Porites porites,TRUE,TRUE,TRUE,FALSE,3.695,3.695e-4,480,7.697916666666666e-5,cm2
Plot C,all,Plot C,2,April,2026-04-03,interval_end,0-0__209,Porites porites,TRUE,TRUE,TRUE,FALSE,8.2125,8.2125e-4,480,1.7109375e-4,cm2
Plot C,all,Plot C,2,April,2026-04-03,interval_end,0-0__21,Montastraea cavernosa,TRUE,TRUE,TRUE,FALSE,1.965,1.965e-4,480,4.09375e-5,cm2
Plot C,all,Plot C,2,April,2026-04-03,interval_end,0-0__210,Porites porites,TRUE,TRUE,TRUE,FALSE,0.965,9.65e-5,480,2.0104166666666666e-5,cm2
Plot C,all,Plot C,2,April,2026-04-03,interval_end,0-0__211,Porites porites,TRUE,TRUE,TRUE,FALSE,5.1675,5.167500000000001e-4,480,1.0765625000000002e-4,cm2
Plot C,all,Plot C,2,April,2026-04-03,interval_end,0-0__212,Porites porites,TRUE,TRUE,TRUE,FALSE,4.0525,4.0525e-4,480,8.442708333333333e-5,cm2
Plot C,all,Plot C,2,April,2026-04-03,interval_end,0-0__213,Porites porites,TRUE,TRUE,TRUE,FALSE,8.6925,8.692500000000001e-4,480,1.8109375000000002e-4,cm2
Plot C,all,Plot C,2,April,2026-04-03,interval_end,0-0__214,Porites porites,TRUE,TRUE,TRUE,FALSE,2.795,2.795e-4,480,5.8229166666666675e-5,cm2
Plot C,all,Plot C,2,April,2026-04-03,interval_end,0-0__215,Porites porites,TRUE,TRUE,TRUE,FALSE,7.6025,7.6025e-4,480,1.5838541666666665e-4,cm2
Plot C,all,Plot C,2,April,2026-04-03,interval_end,0-0__216,Porites porites,TRUE,TRUE,TRUE,FALSE,5.385,5.385e-4,480,1.1218750000000001e-4,cm2
Plot C,all,Plot C,2,April,2026-04-03,interval_end,0-0__217,Porites porites,TRUE,TRUE,TRUE,FALSE,7.1875,7.1875e-4,480,1.4973958333333332e-4,cm2
Plot C,all,Plot C,2,April,2026-04-03,interval_end,0-0__218,Porites porites,TRUE,TRUE,TRUE,FALSE,4.8875,4.8875e-4,480,1.0182291666666667e-4,cm2
Plot C,all,Plot C,2,April,2026-04-03,interval_end,0-0__219,Porites porites,TRUE,TRUE,TRUE,FALSE,4.54,4.54e-4,480,9.458333333333332e-5,cm2
Plot C,all,Plot C,2,April,2026-04-03,interval_end,0-0__22,Orbicella annularis,TRUE,TRUE,TRUE,FALSE,19.7725,0.0019772500000000003,480,4.119270833333334e-4,cm2
Plot C,all,Plot C,2,April,2026-04-03,interval_end,0-0__220,Porites porites,TRUE,TRUE,TRUE,FALSE,5.34,5.34e-4,480,1.1125e-4,cm2
Plot C,all,Plot C,2,April,2026-04-03,interval_end,0-0__221,Porites porites,TRUE,TRUE,TRUE,FALSE,5.1825,5.1825e-4,480,1.0796875e-4,cm2
Plot C,all,Plot C,2,April,2026-04-03,interval_end,0-0__222,Porites porites,TRUE,TRUE,TRUE,FALSE,1.145,1.145e-4,480,2.3854166666666666e-5,cm2
Plot C,all,Plot C,2,April,2026-04-03,interval_end,0-0__223,Porites porites,TRUE,TRUE,TRUE,FALSE,4.8225,4.8225e-4,480,1.0046875e-4,cm2
Plot C,all,Plot C,2,April,2026-04-03,interval_end,0-0__224,Porites porites,TRUE,TRUE,TRUE,FALSE,6.9775,6.9775e-4,480,1.4536458333333334e-4,cm2
Plot C,all,Plot C,2,April,2026-04-03,interval_end,0-0__225,Porites porites,TRUE,TRUE,TRUE,FALSE,4.1975,4.1975e-4,480,8.744791666666666e-5,cm2
Plot C,all,Plot C,2,April,2026-04-03,interval_end,0-0__226,Porites porites,TRUE,TRUE,TRUE,FALSE,4.205,4.2050000000000003e-4,480,8.760416666666667e-5,cm2
Plot C,all,Plot C,2,April,2026-04-03,interval_end,0-0__227,Porites porites,TRUE,TRUE,TRUE,FALSE,5.89,5.89e-4,480,1.2270833333333334e-4,cm2
Plot C,all,Plot C,2,April,2026-04-03,interval_end,0-0__228,Porites porites,TRUE,TRUE,TRUE,FALSE,1.415,1.415e-4,480,2.9479166666666664e-5,cm2
Plot C,all,Plot C,2,April,2026-04-03,interval_end,0-0__229,Porites porites,TRUE,TRUE,TRUE,FALSE,1.1575,1.1575e-4,480,2.4114583333333334e-5,cm2
Plot C,all,Plot C,2,April,2026-04-03,interval_end,0-0__23,Montastraea cavernosa,TRUE,TRUE,TRUE,FALSE,2.855,2.855e-4,480,5.9479166666666665e-5,cm2
Plot C,all,Plot C,2,April,2026-04-03,interval_end,0-0__230,Porites porites,TRUE,TRUE,TRUE,FALSE,2.98,2.98e-4,480,6.208333333333333e-5,cm2
Plot C,all,Plot C,2,April,2026-04-03,interval_end,0-0__231,Porites porites,TRUE,TRUE,TRUE,FALSE,1.6125,1.6125000000000002e-4,480,3.359375e-5,cm2
Plot C,all,Plot C,2,April,2026-04-03,interval_end,0-0__232,Porites porites,TRUE,TRUE,TRUE,FALSE,4.13,4.13e-4,480,8.604166666666668e-5,cm2
Plot C,all,Plot C,2,April,2026-04-03,interval_end,0-0__233,Porites porites,TRUE,TRUE,TRUE,FALSE,2.4525,2.4525e-4,480,5.1093750000000005e-5,cm2
Plot C,all,Plot C,2,April,2026-04-03,interval_end,0-0__234,Porites porites,TRUE,TRUE,TRUE,FALSE,5.3625,5.362499999999999e-4,480,1.1171874999999999e-4,cm2
