plot,plot_section,plot_section_label,month,month_order,survey_date,observation_source,genet,tag,genotype,species,plot_area_m2,taglab_area_units,area,area_m2,present,snapshot_object_id,n_duplicate_observations
Plot C,all,Plot C,November,1,2025-11-03,baseline_start,0-0__117,NA,NA,Porites porites,480,cm2,0,0,FALSE,Plot C__1__baseline_start__0-0__117,1
Plot C,all,Plot C,November,1,2025-11-03,baseline_start,0-0__118,NA,NA,Porites porites,480,cm2,0,0,FALSE,Plot C__1__baseline_start__0-0__118,1
Plot C,all,Plot C,November,1,2025-11-03,baseline_start,0-0__119,NA,NA,Porites porites,480,cm2,0,0,FALSE,Plot C__1__baseline_start__0-0__119,1
Plot C,all,Plot C,November,1,2025-11-03,baseline_start,0-0__12,NA,NA,Montastraea cavernosa,480,cm2,0,0,FALSE,Plot C__1__baseline_start__0-0__12,1
Plot C,all,Plot C,November,1,2025-11-03,baseline_start,0-0__120,NA,NA,Porites porites,480,cm2,0,0,FALSE,Plot C__1__baseline_start__0-0__120,1
Plot C,all,Plot C,November,1,2025-11-03,baseline_start,0-0__121,NA,NA,Porites porites,480,cm2,0,0,FALSE,Plot C__1__baseline_start__0-0__121,1
Plot C,all,Plot C,November,1,2025-11-03,baseline_start,0-0__122,NA,NA,Porites porites,480,cm2,0,0,FALSE,Plot C__1__baseline_start__0-0__122,1
Plot C,all,Plot C,November,1,2025-11-03,baseline_start,0-0__123,NA,NA,Porites porites,480,cm2,0,0,FALSE,Plot C__1__baseline_start__0-0__123,1
Plot C,all,Plot C,November,1,2025-11-03,baseline_start,0-0__124,NA,NA,Porites porites,480,cm2,0,0,FALSE,Plot C__1__baseline_start__0-0__124,1
Plot C,all,Plot C,November,1,2025-11-03,baseline_start,0-0__125,NA,NA,Porites porites,480,cm2,0,0,FALSE,Plot C__1__baseline_start__0-0__125,1
Plot C,all,Plot C,November,1,2025-11-03,baseline_start,0-0__126,NA,NA,Porites porites,480,cm2,0,0,FALSE,Plot C__1__baseline_start__0-0__126,1
Plot C,all,Plot C,November,1,2025-11-03,baseline_start,0-0__127,NA,NA,Porites porites,480,cm2,0,0,FALSE,Plot C__1__baseline_start__0-0__127,1
Plot C,all,Plot C,November,1,2025-11-03,baseline_start,0-0__128,NA,NA,Porites porites,480,cm2,0,0,FALSE,Plot C__1__baseline_start__0-0__128,1
Plot C,all,Plot C,November,1,2025-11-03,baseline_start,0-0__129,NA,NA,Porites porites,480,cm2,0,0,FALSE,Plot C__1__baseline_start__0-0__129,1
Plot C,all,Plot C,November,1,2025-11-03,baseline_start,0-0__13,NA,NA,Montastraea cavernosa,480,cm2,0,0,FALSE,Plot C__1__baseline_start__0-0__13,1
Plot C,all,Plot C,November,1,2025-11-03,baseline_start,0-0__130,NA,NA,Porites porites,480,cm2,0,0,FALSE,Plot C__1__baseline_start__0-0__130,1
Plot C,all,Plot C,November,1,2025-11-03,baseline_start,0-0__131,NA,NA,Porites porites,480,cm2,0,0,FALSE,Plot C__1__baseline_start__0-0__131,1
Plot C,all,Plot C,November,1,2025-11-03,baseline_start,0-0__132,NA,NA,Porites porites,480,cm2,0,0,FALSE,Plot C__1__baseline_start__0-0__132,1
Plot C,all,Plot C,November,1,2025-11-03,baseline_start,0-0__133,NA,NA,Porites porites,480,cm2,0,0,FALSE,Plot C__1__baseline_start__0-0__133,1
Plot C,all,Plot C,November,1,2025-11-03,baseline_start,0-0__134,NA,NA,Porites porites,480,cm2,0,0,FALSE,Plot C__1__baseline_start__0-0__134,1
Plot C,all,Plot C,November,1,2025-11-03,baseline_start,0-0__135,NA,NA,Porites porites,480,cm2,0,0,FALSE,Plot C__1__baseline_start__0-0__135,1
Plot C,all,Plot C,November,1,2025-11-03,baseline_start,0-0__136,NA,NA,Orbicella franksi,480,cm2,0,0,FALSE,Plot C__1__baseline_start__0-0__136,1
Plot C,all,Plot C,November,1,2025-11-03,baseline_start,0-0__137,NA,NA,Orbicella franksi,480,cm2,0,0,FALSE,Plot C__1__baseline_start__0-0__137,1
Plot C,all,Plot C,November,1,2025-11-03,baseline_start,0-0__138,NA,NA,Porites porites,480,cm2,0,0,FALSE,Plot C__1__baseline_start__0-0__138,1
Plot C,all,Plot C,November,1,2025-11-03,baseline_start,0-0__139,NA,NA,Porites porites,480,cm2,0,0,FALSE,Plot C__1__baseline_start__0-0__139,1
Plot C,all,Plot C,November,1,2025-11-03,baseline_start,0-0__14,NA,NA,Montastraea cavernosa,480,cm2,0,0,FALSE,Plot C__1__baseline_start__0-0__14,1
Plot C,all,Plot C,November,1,2025-11-03,baseline_start,0-0__140,NA,NA,Orbicella franksi,480,cm2,0,0,FALSE,Plot C__1__baseline_start__0-0__140,1
Plot C,all,Plot C,November,1,2025-11-03,baseline_start,0-0__141,NA,NA,Orbicella franksi,480,cm2,0,0,FALSE,Plot C__1__baseline_start__0-0__141,1
Plot C,all,Plot C,November,1,2025-11-03,baseline_start,0-0__142,NA,NA,Porites porites,480,cm2,0,0,FALSE,Plot C__1__baseline_start__0-0__142,1
Plot C,all,Plot C,November,1,2025-11-03,baseline_start,0-0__143,NA,NA,Orbicella franksi,480,cm2,0,0,FALSE,Plot C__1__baseline_start__0-0__143,1
Plot C,all,Plot C,November,1,2025-11-03,baseline_start,0-0__144,NA,NA,Orbicella franksi,480,cm2,0,0,FALSE,Plot C__1__baseline_start__0-0__144,1
Plot C,all,Plot C,November,1,2025-11-03,baseline_start,0-0__145,NA,NA,Orbicella franksi,480,cm2,0,0,FALSE,Plot C__1__baseline_start__0-0__145,1
Plot C,all,Plot C,November,1,2025-11-03,baseline_start,0-0__146,NA,NA,Porites porites,480,cm2,0,0,FALSE,Plot C__1__baseline_start__0-0__146,1
Plot C,all,Plot C,November,1,2025-11-03,baseline_start,0-0__147,NA,NA,Orbicella franksi,480,cm2,0,0,FALSE,Plot C__1__baseline_start__0-0__147,1
Plot C,all,Plot C,November,1,2025-11-03,baseline_start,0-0__148,NA,NA,Orbicella franksi,480,cm2,0,0,FALSE,Plot C__1__baseline_start__0-0__148,1
Plot C,all,Plot C,November,1,2025-11-03,baseline_start,0-0__149,NA,NA,Orbicella franksi,480,cm2,0,0,FALSE,Plot C__1__baseline_start__0-0__149,1
Plot C,all,Plot C,November,1,2025-11-03,baseline_start,0-0__15,NA,NA,Montastraea cavernosa,480,cm2,0,0,FALSE,Plot C__1__baseline_start__0-0__15,1
Plot C,all,Plot C,November,1,2025-11-03,baseline_start,0-0__150,NA,NA,Orbicella franksi,480,cm2,0,0,FALSE,Plot C__1__baseline_start__0-0__150,1
Plot C,all,Plot C,November,1,2025-11-03,baseline_start,0-0__151,NA,NA,Orbicella franksi,480,cm2,0,0,FALSE,Plot C__1__baseline_start__0-0__151,1
Plot C,all,Plot C,November,1,2025-11-03,baseline_start,0-0__152,NA,NA,Orbicella franksi,480,cm2,0,0,FALSE,Plot C__1__baseline_start__0-0__152,1
Plot C,all,Plot C,November,1,2025-11-03,baseline_start,0-0__153,NA,NA,Porites porites,480,cm2,0,0,FALSE,Plot C__1__baseline_start__0-0__153,1
Plot C,all,Plot C,November,1,2025-11-03,baseline_start,0-0__154,NA,NA,Orbicella franksi,480,cm2,0,0,FALSE,Plot C__1__baseline_start__0-0__154,1
Plot C,all,Plot C,November,1,2025-11-03,baseline_start,0-0__155,NA,NA,Orbicella franksi,480,cm2,0,0,FALSE,Plot C__1__baseline_start__0-0__155,1
Plot C,all,Plot C,November,1,2025-11-03,baseline_start,0-0__156,NA,NA,Orbicella franksi,480,cm2,0,0,FALSE,Plot C__1__baseline_start__0-0__156,1
Plot C,all,Plot C,November,1,2025-11-03,baseline_start,0-0__157,NA,NA,Orbicella franksi,480,cm2,0,0,FALSE,Plot C__1__baseline_start__0-0__157,1
Plot C,all,Plot C,November,1,2025-11-03,baseline_start,0-0__158,NA,NA,Orbicella franksi,480,cm2,0,0,FALSE,Plot C__1__baseline_start__0-0__158,1
Plot C,all,Plot C,November,1,2025-11-03,baseline_start,0-0__159,NA,NA,Porites porites,480,cm2,0,0,FALSE,Plot C__1__baseline_start__0-0__159,1
Plot C,all,Plot C,November,1,2025-11-03,baseline_start,0-0__16,NA,NA,Montastraea cavernosa,480,cm2,0,0,FALSE,Plot C__1__baseline_start__0-0__16,1
Plot C,all,Plot C,November,1,2025-11-03,baseline_start,0-0__160,NA,NA,Orbicella franksi,480,cm2,0,0,FALSE,Plot C__1__baseline_start__0-0__160,1
Plot C,all,Plot C,November,1,2025-11-03,baseline_start,0-0__161,NA,NA,Orbicella franksi,480,cm2,0,0,FALSE,Plot C__1__baseline_start__0-0__161,1
Plot C,all,Plot C,November,1,2025-11-03,baseline_start,0-0__162,NA,NA,Orbicella franksi,480,cm2,0,0,FALSE,Plot C__1__baseline_start__0-0__162,1
Plot C,all,Plot C,November,1,2025-11-03,baseline_start,0-0__163,NA,NA,Orbicella franksi,480,cm2,0,0,FALSE,Plot C__1__baseline_start__0-0__163,1
Plot C,all,Plot C,November,1,2025-11-03,baseline_start,0-0__164,NA,NA,Orbicella franksi,480,cm2,0,0,FALSE,Plot C__1__baseline_start__0-0__164,1
Plot C,all,Plot C,November,1,2025-11-03,baseline_start,0-0__166,NA,NA,Orbicella annularis,480,cm2,0,0,FALSE,Plot C__1__baseline_start__0-0__166,1
Plot C,all,Plot C,November,1,2025-11-03,baseline_start,0-0__167,NA,NA,Porites porites,480,cm2,0,0,FALSE,Plot C__1__baseline_start__0-0__167,1
Plot C,all,Plot C,November,1,2025-11-03,baseline_start,0-0__168,NA,NA,Porites porites,480,cm2,0,0,FALSE,Plot C__1__baseline_start__0-0__168,1
Plot C,all,Plot C,November,1,2025-11-03,baseline_start,0-0__169,NA,NA,Porites porites,480,cm2,0,0,FALSE,Plot C__1__baseline_start__0-0__169,1
Plot C,all,Plot C,November,1,2025-11-03,baseline_start,0-0__17,NA,NA,Montastraea cavernosa,480,cm2,0,0,FALSE,Plot C__1__baseline_start__0-0__17,1
Plot C,all,Plot C,November,1,2025-11-03,baseline_start,0-0__170,NA,NA,Porites porites,480,cm2,0,0,FALSE,Plot C__1__baseline_start__0-0__170,1
Plot C,all,Plot C,November,1,2025-11-03,baseline_start,0-0__171,NA,NA,Porites porites,480,cm2,0,0,FALSE,Plot C__1__baseline_start__0-0__171,1
Plot C,all,Plot C,November,1,2025-11-03,baseline_start,0-0__172,NA,NA,Porites porites,480,cm2,0,0,FALSE,Plot C__1__baseline_start__0-0__172,1
Plot C,all,Plot C,November,1,2025-11-03,baseline_start,0-0__173,NA,NA,Porites porites,480,cm2,0,0,FALSE,Plot C__1__baseline_start__0-0__173,1
Plot C,all,Plot C,November,1,2025-11-03,baseline_start,0-0__174,NA,NA,Porites porites,480,cm2,0,0,FALSE,Plot C__1__baseline_start__0-0__174,1
Plot C,all,Plot C,November,1,2025-11-03,baseline_start,0-0__175,NA,NA,Porites porites,480,cm2,0,0,FALSE,Plot C__1__baseline_start__0-0__175,1
Plot C,all,Plot C,November,1,2025-11-03,baseline_start,0-0__176,NA,NA,Porites porites,480,cm2,0,0,FALSE,Plot C__1__baseline_start__0-0__176,1
Plot C,all,Plot C,November,1,2025-11-03,baseline_start,0-0__177,NA,NA,Porites porites,480,cm2,0,0,FALSE,Plot C__1__baseline_start__0-0__177,1
Plot C,all,Plot C,November,1,2025-11-03,baseline_start,0-0__178,NA,NA,Porites porites,480,cm2,0,0,FALSE,Plot C__1__baseline_start__0-0__178,1
Plot C,all,Plot C,November,1,2025-11-03,baseline_start,0-0__179,NA,NA,Porites porites,480,cm2,0,0,FALSE,Plot C__1__baseline_start__0-0__179,1
Plot C,all,Plot C,November,1,2025-11-03,baseline_start,0-0__18,NA,NA,Montastraea cavernosa,480,cm2,0,0,FALSE,Plot C__1__baseline_start__0-0__18,1
Plot C,all,Plot C,November,1,2025-11-03,baseline_start,0-0__180,NA,NA,Porites porites,480,cm2,0,0,FALSE,Plot C__1__baseline_start__0-0__180,1
Plot C,all,Plot C,November,1,2025-11-03,baseline_start,0-0__181,NA,NA,Porites porites,480,cm2,0,0,FALSE,Plot C__1__baseline_start__0-0__181,1
Plot C,all,Plot C,November,1,2025-11-03,baseline_start,0-0__182,NA,NA,Porites porites,480,cm2,0,0,FALSE,Plot C__1__baseline_start__0-0__182,1
Plot C,all,Plot C,November,1,2025-11-03,baseline_start,0-0__183,NA,NA,Porites porites,480,cm2,0,0,FALSE,Plot C__1__baseline_start__0-0__183,1
Plot C,all,Plot C,November,1,2025-11-03,baseline_start,0-0__184,NA,NA,Porites porites,480,cm2,0,0,FALSE,Plot C__1__baseline_start__0-0__184,1
Plot C,all,Plot C,November,1,2025-11-03,baseline_start,0-0__185,NA,NA,Porites porites,480,cm2,0,0,FALSE,Plot C__1__baseline_start__0-0__185,1
Plot C,all,Plot C,November,1,2025-11-03,baseline_start,0-0__186,NA,NA,Porites porites,480,cm2,0,0,FALSE,Plot C__1__baseline_start__0-0__186,1
Plot C,all,Plot C,November,1,2025-11-03,baseline_start,0-0__187,NA,NA,Porites porites,480,cm2,0,0,FALSE,Plot C__1__baseline_start__0-0__187,1
Plot C,all,Plot C,November,1,2025-11-03,baseline_start,0-0__188,NA,NA,Porites porites,480,cm2,0,0,FALSE,Plot C__1__baseline_start__0-0__188,1
Plot C,all,Plot C,November,1,2025-11-03,baseline_start,0-0__189,NA,NA,Porites porites,480,cm2,0,0,FALSE,Plot C__1__baseline_start__0-0__189,1
Plot C,all,Plot C,November,1,2025-11-03,baseline_start,0-0__19,NA,NA,Montastraea cavernosa,480,cm2,0,0,FALSE,Plot C__1__baseline_start__0-0__19,1
Plot C,all,Plot C,November,1,2025-11-03,baseline_start,0-0__190,NA,NA,Porites porites,480,cm2,0,0,FALSE,Plot C__1__baseline_start__0-0__190,1
Plot C,all,Plot C,November,1,2025-11-03,baseline_start,0-0__191,NA,NA,Porites porites,480,cm2,0,0,FALSE,Plot C__1__baseline_start__0-0__191,1
Plot C,all,Plot C,November,1,2025-11-03,baseline_start,0-0__192,NA,NA,Porites porites,480,cm2,0,0,FALSE,Plot C__1__baseline_start__0-0__192,1
Plot C,all,Plot C,November,1,2025-11-03,baseline_start,0-0__193,NA,NA,Porites porites,480,cm2,0,0,FALSE,Plot C__1__baseline_start__0-0__193,1
Plot C,all,Plot C,November,1,2025-11-03,baseline_start,0-0__194,NA,NA,Porites porites,480,cm2,0,0,FALSE,Plot C__1__baseline_start__0-0__194,1
Plot C,all,Plot C,November,1,2025-11-03,baseline_start,0-0__195,NA,NA,Porites porites,480,cm2,0,0,FALSE,Plot C__1__baseline_start__0-0__195,1
Plot C,all,Plot C,November,1,2025-11-03,baseline_start,0-0__196,NA,NA,Porites porites,480,cm2,0,0,FALSE,Plot C__1__baseline_start__0-0__196,1
Plot C,all,Plot C,November,1,2025-11-03,baseline_start,0-0__197,NA,NA,Porites porites,480,cm2,0,0,FALSE,Plot C__1__baseline_start__0-0__197,1
Plot C,all,Plot C,November,1,2025-11-03,baseline_start,0-0__198,NA,NA,Porites porites,480,cm2,0,0,FALSE,Plot C__1__baseline_start__0-0__198,1
Plot C,all,Plot C,November,1,2025-11-03,baseline_start,0-0__199,NA,NA,Porites porites,480,cm2,0,0,FALSE,Plot C__1__baseline_start__0-0__199,1
Plot C,all,Plot C,November,1,2025-11-03,baseline_start,0-0__2,NA,NA,Orbicella annularis,480,cm2,0,0,FALSE,Plot C__1__baseline_start__0-0__2,1
Plot C,all,Plot C,November,1,2025-11-03,baseline_start,0-0__20,NA,NA,Montastraea cavernosa,480,cm2,0,0,FALSE,Plot C__1__baseline_start__0-0__20,1
Plot C,all,Plot C,November,1,2025-11-03,baseline_start,0-0__200,NA,NA,Porites porites,480,cm2,0,0,FALSE,Plot C__1__baseline_start__0-0__200,1
Plot C,all,Plot C,November,1,2025-11-03,baseline_start,0-0__201,NA,NA,Porites porites,480,cm2,0,0,FALSE,Plot C__1__baseline_start__0-0__201,1
Plot C,all,Plot C,November,1,2025-11-03,baseline_start,0-0__202,NA,NA,Porites porites,480,cm2,0,0,FALSE,Plot C__1__baseline_start__0-0__202,1
Plot C,all,Plot C,November,1,2025-11-03,baseline_start,0-0__203,NA,NA,Porites porites,480,cm2,0,0,FALSE,Plot C__1__baseline_start__0-0__203,1
Plot C,all,Plot C,November,1,2025-11-03,baseline_start,0-0__204,NA,NA,Porites porites,480,cm2,0,0,FALSE,Plot C__1__baseline_start__0-0__204,1
Plot C,all,Plot C,November,1,2025-11-03,baseline_start,0-0__205,NA,NA,Porites porites,480,cm2,0,0,FALSE,Plot C__1__baseline_start__0-0__205,1
Plot C,all,Plot C,November,1,2025-11-03,baseline_start,0-0__206,NA,NA,Porites porites,480,cm2,0,0,FALSE,Plot C__1__baseline_start__0-0__206,1
Plot C,all,Plot C,November,1,2025-11-03,baseline_start,0-0__207,NA,NA,Unidentified coral,480,cm2,0,0,FALSE,Plot C__1__baseline_start__0-0__207,1
Plot C,all,Plot C,November,1,2025-11-03,baseline_start,0-0__208,NA,NA,Porites porites,480,cm2,0,0,FALSE,Plot C__1__baseline_start__0-0__208,1
Plot C,all,Plot C,November,1,2025-11-03,baseline_start,0-0__209,NA,NA,Porites porites,480,cm2,0,0,FALSE,Plot C__1__baseline_start__0-0__209,1
Plot C,all,Plot C,November,1,2025-11-03,baseline_start,0-0__21,NA,NA,Montastraea cavernosa,480,cm2,0,0,FALSE,Plot C__1__baseline_start__0-0__21,1
Plot C,all,Plot C,November,1,2025-11-03,baseline_start,0-0__210,NA,NA,Porites porites,480,cm2,0,0,FALSE,Plot C__1__baseline_start__0-0__210,1
Plot C,all,Plot C,November,1,2025-11-03,baseline_start,0-0__211,NA,NA,Porites porites,480,cm2,0,0,FALSE,Plot C__1__baseline_start__0-0__211,1
Plot C,all,Plot C,November,1,2025-11-03,baseline_start,0-0__212,NA,NA,Porites porites,480,cm2,0,0,FALSE,Plot C__1__baseline_start__0-0__212,1
Plot C,all,Plot C,November,1,2025-11-03,baseline_start,0-0__213,NA,NA,Porites porites,480,cm2,0,0,FALSE,Plot C__1__baseline_start__0-0__213,1
Plot C,all,Plot C,November,1,2025-11-03,baseline_start,0-0__214,NA,NA,Porites porites,480,cm2,0,0,FALSE,Plot C__1__baseline_start__0-0__214,1
Plot C,all,Plot C,November,1,2025-11-03,baseline_start,0-0__215,NA,NA,Porites porites,480,cm2,0,0,FALSE,Plot C__1__baseline_start__0-0__215,1
Plot C,all,Plot C,November,1,2025-11-03,baseline_start,0-0__216,NA,NA,Porites porites,480,cm2,0,0,FALSE,Plot C__1__baseline_start__0-0__216,1
Plot C,all,Plot C,November,1,2025-11-03,baseline_start,0-0__217,NA,NA,Porites porites,480,cm2,0,0,FALSE,Plot C__1__baseline_start__0-0__217,1
Plot C,all,Plot C,November,1,2025-11-03,baseline_start,0-0__218,NA,NA,Porites porites,480,cm2,0,0,FALSE,Plot C__1__baseline_start__0-0__218,1
Plot C,all,Plot C,November,1,2025-11-03,baseline_start,0-0__219,NA,NA,Porites porites,480,cm2,0,0,FALSE,Plot C__1__baseline_start__0-0__219,1
Plot C,all,Plot C,November,1,2025-11-03,baseline_start,0-0__22,NA,NA,Orbicella annularis,480,cm2,0,0,FALSE,Plot C__1__baseline_start__0-0__22,1
Plot C,all,Plot C,November,1,2025-11-03,baseline_start,0-0__220,NA,NA,Porites porites,480,cm2,0,0,FALSE,Plot C__1__baseline_start__0-0__220,1
Plot C,all,Plot C,November,1,2025-11-03,baseline_start,0-0__221,NA,NA,Porites porites,480,cm2,0,0,FALSE,Plot C__1__baseline_start__0-0__221,1
Plot C,all,Plot C,November,1,2025-11-03,baseline_start,0-0__222,NA,NA,Porites porites,480,cm2,0,0,FALSE,Plot C__1__baseline_start__0-0__222,1
Plot C,all,Plot C,November,1,2025-11-03,baseline_start,0-0__223,NA,NA,Porites porites,480,cm2,0,0,FALSE,Plot C__1__baseline_start__0-0__223,1
Plot C,all,Plot C,November,1,2025-11-03,baseline_start,0-0__224,NA,NA,Porites porites,480,cm2,0,0,FALSE,Plot C__1__baseline_start__0-0__224,1
Plot C,all,Plot C,November,1,2025-11-03,baseline_start,0-0__225,NA,NA,Porites porites,480,cm2,0,0,FALSE,Plot C__1__baseline_start__0-0__225,1
Plot C,all,Plot C,November,1,2025-11-03,baseline_start,0-0__226,NA,NA,Porites porites,480,cm2,0,0,FALSE,Plot C__1__baseline_start__0-0__226,1
Plot C,all,Plot C,November,1,2025-11-03,baseline_start,0-0__227,NA,NA,Porites porites,480,cm2,0,0,FALSE,Plot C__1__baseline_start__0-0__227,1
Plot C,all,Plot C,November,1,2025-11-03,baseline_start,0-0__228,NA,NA,Porites porites,480,cm2,0,0,FALSE,Plot C__1__baseline_start__0-0__228,1
Plot C,all,Plot C,November,1,2025-11-03,baseline_start,0-0__229,NA,NA,Porites porites,480,cm2,0,0,FALSE,Plot C__1__baseline_start__0-0__229,1
Plot C,all,Plot C,November,1,2025-11-03,baseline_start,0-0__23,NA,NA,Montastraea cavernosa,480,cm2,0,0,FALSE,Plot C__1__baseline_start__0-0__23,1
Plot C,all,Plot C,November,1,2025-11-03,baseline_start,0-0__230,NA,NA,Porites porites,480,cm2,0,0,FALSE,Plot C__1__baseline_start__0-0__230,1
Plot C,all,Plot C,November,1,2025-11-03,baseline_start,0-0__231,NA,NA,Porites porites,480,cm2,0,0,FALSE,Plot C__1__baseline_start__0-0__231,1
Plot C,all,Plot C,November,1,2025-11-03,baseline_start,0-0__232,NA,NA,Porites porites,480,cm2,0,0,FALSE,Plot C__1__baseline_start__0-0__232,1
Plot C,all,Plot C,November,1,2025-11-03,baseline_start,0-0__233,NA,NA,Porites porites,480,cm2,0,0,FALSE,Plot C__1__baseline_start__0-0__233,1
Plot C,all,Plot C,November,1,2025-11-03,baseline_start,0-0__234,NA,NA,Porites porites,480,cm2,0,0,FALSE,Plot C__1__baseline_start__0-0__234,1
Plot C,all,Plot C,November,1,2025-11-03,baseline_start,0-0__235,NA,NA,Porites porites,480,cm2,0,0,FALSE,Plot C__1__baseline_start__0-0__235,1
Plot C,all,Plot C,November,1,2025-11-03,baseline_start,0-0__236,NA,NA,Porites porites,480,cm2,0,0,FALSE,Plot C__1__baseline_start__0-0__236,1
Plot C,all,Plot C,November,1,2025-11-03,baseline_start,0-0__237,NA,NA,Orbicella faveolata,480,cm2,0,0,FALSE,Plot C__1__baseline_start__0-0__237,1
Plot C,all,Plot C,November,1,2025-11-03,baseline_start,0-0__238,NA,NA,Orbicella faveolata,480,cm2,0,0,FALSE,Plot C__1__baseline_start__0-0__238,1
Plot C,all,Plot C,November,1,2025-11-03,baseline_start,0-0__239,NA,NA,Orbicella faveolata,480,cm2,0,0,FALSE,Plot C__1__baseline_start__0-0__239,1
Plot C,all,Plot C,November,1,2025-11-03,baseline_start,0-0__24,NA,NA,Montastraea cavernosa,480,cm2,0,0,FALSE,Plot C__1__baseline_start__0-0__24,1
Plot C,all,Plot C,November,1,2025-11-03,baseline_start,0-0__240,NA,NA,Orbicella faveolata,480,cm2,0,0,FALSE,Plot C__1__baseline_start__0-0__240,1
Plot C,all,Plot C,November,1,2025-11-03,baseline_start,0-0__241,NA,NA,Orbicella faveolata,480,cm2,0,0,FALSE,Plot C__1__baseline_start__0-0__241,1
Plot C,all,Plot C,November,1,2025-11-03,baseline_start,0-0__242,NA,NA,Orbicella faveolata,480,cm2,0,0,FALSE,Plot C__1__baseline_start__0-0__242,1
Plot C,all,Plot C,November,1,2025-11-03,baseline_start,0-0__243,NA,NA,Orbicella faveolata,480,cm2,0,0,FALSE,Plot C__1__baseline_start__0-0__243,1
Plot C,all,Plot C,November,1,2025-11-03,baseline_start,0-0__244,NA,NA,Orbicella faveolata,480,cm2,0,0,FALSE,Plot C__1__baseline_start__0-0__244,1
Plot C,all,Plot C,November,1,2025-11-03,baseline_start,0-0__245,NA,NA,Porites porites,480,cm2,0,0,FALSE,Plot C__1__baseline_start__0-0__245,1
Plot C,all,Plot C,November,1,2025-11-03,baseline_start,0-0__246,NA,NA,Orbicella faveolata,480,cm2,0,0,FALSE,Plot C__1__baseline_start__0-0__246,1
